Component,Directory,Upstream,Homepage
Compilation Infrastructure,,,
bmake,contrib/bmake,NetBSD,https://www.NetBSD.org
byacc,contrib/byacc,invisible-island,https://invisible-island.net/byacc/
dtc,usr.bin/dtc,David Chisnall,https://github.com/davidchisnall/dtc
elftoolchain,contrib/elftoolchain,elftoolchain,https://sourceforge.net/projects/elftoolchain/
libcxxrt,contrib/libcxxrt,,https://github.com/libcxxrt/libcxxrt
LLVM,contrib/llvm-project,LLVM,https://llvm.org
unifdef,contrib/unifdef,Tony Finch,https://dotat.at/prog/unifdef
Kernel,,,
acpi(4),sys/contrib/dev/acpica,Intel,https://github.com/acpica/acpica
ice(4),sys/contrib/dev/ice,Intel,https://edc.intel.com/content/www/us/en/design/products/ethernet/adapters-and-devices-user-guide/dynamic-device-personalization-ddp/
ipfilter(4),sys/netpfil/ipfilter,Phil Dibowitz,https://www.phildev.net/ipf/
pf(4),sys/netpfil/pf,OpenBSD,https://openbsd.org
umb(4),sys/dev/usb/net,OpenBSD,https://openbsd.org
ZFS,sys/contrib/openzfs|cddl,OpenZFS,https://openzfs.org/wiki/Main_Page
zstd,sys/contrib/zstd,Meta,https://facebook.github.io/zstd/
Network Libraries,,,
bsnmp,contrib/bsnmp,Hartmut Brandt,https://people.freebsd.org/~harti/bsnmp/
ldns,contrib/ldns,NLnet Labs,https://github.com/NLnetLabs/ldns
libpcap,contrib/libpcap,TCPdump,https://www.tcpdump.org
Network Services,,,
blocklist,contrib/blocklist,NetBSD,https://www.NetBSD.org
dma,contrib/dma,DragonFly BSD,https://www.dragonflybsd.org/handbook/mta/
NTP,contrib/ntp,NTP Project,https://www.ntp.org
OpenSSH,crypto/openssh,OpenBSD,https://openssh.com
Sendmail,contrib/sendmail,Proofpoint,https://ftp.sendmail.org
Unbound,contrib/unbound,NLnet Labs,https://github.com/NLnetLabs/unbound
WireGuard,contrib/wireguard-tools,WireGuard,https://git.zx2c4.com/wireguard-tools/
wpa_supplicant,contrib/wpa,Jouni Malinen,https://w1.fi/wpa_supplicant/
Network Tools,,,
lib9p,contrib/lib9p,Conclusive Engineering,https://github.com/conclusiveeng/lib9p
tcpdump,contrib/tcpdump,TCPdump,https://www.tcpdump.org
Security Infrastructure,,,
BearSSL,contrib/bearssl,BearSSL,https://bearssl.org
OpenSSL,crypto/openssl,OpenSSL,https://openssl-library.org
System Libraries,,,
arm-optimized-routines,contrib/arm-optimized-routines,Arm,https://github.com/ARM-software/optimized-routines
bionic-x86_64-string,contrib/bionic-x86_64-string,Intel,https://android.googlesource.com/platform/bionic
bsddialog,contrib/bsddialog,Alfonso Siciliano,https://gitlab.com/alfix/bsddialog
bzip2,contrib/bzip2,Julian Seward,https://sourceware.org/bzip2/
flex,contrib/flex,Will Estes,https://github.com/westes/flex
gdtoa,contrib/gdtoa,David M. Gay,https://www.netlib.org/fp/
Heimdal Kerberos,crypto/heimdal|contrib/com_err,Heimdal Software,https://www.heimdal.software
jemalloc,contrib/jemalloc,jemalloc,https://jemalloc.net
libarchive,contrib/libarchive,libarchive,https://libarchive.org
libbegemot,contrib/libbegemot,Hartmut Brandt,https://people.freebsd.org/~harti/libbegemot/
libcbor,contrib/libcbor,Pavel Kalvoda,https://github.com/PJK/libcbor
libdialog,contrib/libdialog,invisible-island,https://invisible-island.net/dialog/
libdiff,contrib/libdiff,Game of Trees,https://www.gameoftrees.org
libedit,contrib/libedit,NetBSD,https://www.NetBSD.org
libevent,contrib/libevent,libevent,https://libevent.org
libexecinfo,contrib/libexecinfo,Maxim Sobolev,
libexpat,contrib/expat,expat,https://github.com/libexpat/libexpat
libfido2,contrib/libfido2,Yubico,https://github.com/Yubico/libfido2
liblzma,contrib/xz,Tukaani,https://tukaani.org/xz/
libmagic (file),contrib/file,Ian Darwin,https://www.darwinsys.com/file/
libucl,contrib/libucl,libucl,
libxo,contrib/libxo,Juniper,https://github.com/Juniper/libxo
mandoc,contrib/mandoc,Ingo Schwarze,https://mandoc.bsd.lv
ncurses,contrib/ncurses,invisible-island,https://invisible-island.net/ncurses/
OpenPAM,contrib/openpam,OpenPAM,https://openpam.org
SQLite,contrib/sqlite3,SQLite,https://sqlite.org/src
Time Zone Database,contrib/tzcode|contrib/tzdata,IANA,https://www.iana.org/time-zones
zlib,contrib/zlib,zlib,https://zlib.net
System Tools,,,
awk,contrib/one-true-awk,One True Awk,https://github.com/onetrueawk/awk
bc,contrib/bc,Gavin D. Howard,https://gavinhoward.com/tag/bc/
diff,contrib/diff,GNU,https://www.gnu.org/software/diffutils/
ee,contrib/ee,Hugh Mahon,
hyperv,contrib/hyperv,Microsoft,
less,contrib/less,Mark Nudelman,https://www.greenwoodsoftware.com/less/
Lua,contrib/lua,Lua,https://www.lua.org
Test Infrastructure,,,
ATF,contrib/atf,Julio Merino,https://github.com/jmmv/atf
capsicum-test,contrib/capsicum-test,University of Cambridge,https://www.cl.cam.ac.uk/research/security/capsicum/
GoogleTest,contrib/googletest,Google,https://google.github.io/googletest/
NetBSD tests,contrib/netbsd-tests,NetBSD,https://www.NetBSD.org
pjdfstest,contrib/pjdfstest,pjdfstest,https://github.com/pjd/pjdfstest
